import time: self [us] | cumulative | imported package
import time:       155 |        155 |   _io
import time:        30 |         30 |   marshal
import time:       190 |        190 |   posix
import time:       487 |        860 | _frozen_importlib_external
import time:       519 |        519 |   time
import time:       182 |        701 | zipimport
import time:        39 |         39 |     _codecs
import time:       416 |        455 |   codecs
import time:      1138 |       1138 |   encodings.aliases
import time:      1266 |       2858 | encodings
import time:       634 |        634 | encodings.utf_8
import time:        51 |         51 | _signal
import time:        20 |         20 |     _abc
import time:       117 |        137 |   abc
import time:       123 |        259 | io
import time:        33 |         33 |       _stat
import time:        63 |         96 |     stat
import time:       668 |        668 |     _collections_abc
import time:        51 |         51 |       errno
import time:        64 |         64 |       genericpath
import time:       132 |        246 |     posixpath
import time:       391 |       1399 |   os
import time:        64 |         64 |   _sitebuiltins
import time:       680 |        680 |   sitecustomize
import time:       636 |       2778 | site
import time:       363 |        363 |   __future__
import time:        92 |         92 |       itertools
import time:       409 |        409 |       keyword
import time:        96 |         96 |         _operator
import time:       500 |        596 |       operator
import time:       503 |        503 |       reprlib
import time:        48 |         48 |       _collections
import time:       892 |       2538 |     collections
import time:       377 |        377 |     copyreg
import time:        38 |         38 |       _functools
import time:       625 |        662 |     functools
import time:       486 |        486 |     types
import time:        20 |         20 |     _typing
import time:      1928 |       6009 |   typing
import time:      1477 |       1477 |           enum
import time:        46 |         46 |             _sre
import time:       287 |        287 |               re._constants
import time:       474 |        761 |             re._parser
import time:       225 |        225 |             re._casefix
import time:       561 |       1592 |           re._compiler
import time:       552 |       3620 |         re
import time:       690 |        690 |           _json
import time:       517 |       1206 |         json.scanner
import time:      1036 |       5861 |       json.decoder
import time:       405 |        405 |       json.encoder
import time:       264 |       6529 |     json
import time:       455 |        455 |         _contextvars
import time:       329 |        783 |       contextvars
import time:       456 |        456 |               math
import time:       696 |        696 |               select
import time:       549 |       1699 |             selectors
import time:       698 |        698 |               _socket
import time:       549 |        549 |               array
import time:       890 |       2135 |             socket
import time:       586 |        586 |                 warnings
import time:       444 |        444 |                 _weakrefset
import time:      1237 |       2266 |               threading
import time:       693 |       2959 |             socketserver
import time:       534 |        534 |               _datetime
import time:       373 |        906 |             datetime
import time:       592 |        592 |               http
import time:       712 |        712 |                 weakref
import time:       347 |       1059 |               copy
import time:       382 |        382 |                 email
import time:       326 |        326 |                   urllib
import time:      1107 |       1107 |                   ipaddress
import time:      1127 |       2558 |                 urllib.parse
import time:       544 |        544 |                 email._parseaddr
import time:       993 |       4476 |               email.utils
import time:      1067 |       1067 |                 html.entities
import time:       571 |       1638 |               html
import time:       433 |        433 |                     email.errors
import time:       462 |        462 |                         binascii
import time:        20 |         20 |                             _string
import time:       589 |        608 |                           string
import time:       331 |        939 |                         email.quoprimime
import time:       465 |        465 |                               _struct
import time:       307 |        771 |                             struct
import time:       405 |       1176 |                           base64
import time:       268 |       1444 |                         email.base64mime
import time:       262 |        262 |                             quopri
import time:       233 |        495 |                           email.encoders
import time:       378 |        872 |                         email.charset
import time:       573 |       4287 |                       email.header
import time:       495 |       4781 |                     email._policybase
import time:       532 |       5746 |                   email.feedparser
import time:       261 |       6006 |                 email.parser
import time:       307 |        307 |                   email._encoded_words
import time:       193 |        193 |                   email.iterators
import time:       488 |        987 |                 email.message
import time:      2466 |       2466 |                   _ssl
import time:      1912 |       4377 |                 ssl
import time:       894 |      12263 |               http.client
import time:        47 |         47 |                 _winapi
import time:        35 |         35 |                 winreg
import time:       371 |        451 |               mimetypes
import time:       305 |        305 |                 fnmatch
import time:       769 |        769 |                 zlib
import time:       340 |        340 |                   _compression
import time:       483 |        483 |                   _bz2
import time:       353 |       1174 |                 bz2
import time:       920 |        920 |                   _lzma
import time:       298 |       1218 |                 lzma
import time:       713 |       4178 |               shutil
import time:       848 |      25502 |             http.server
import time:       221 |        221 |                   linecache
import time:       863 |        863 |                   textwrap
import time:       587 |        587 |                   contextlib
import time:       441 |        441 |                   _colorize
import time:       852 |       2962 |                 traceback
import time:        32 |         32 |                 atexit
import time:      1601 |       4593 |               logging
import time:       596 |       5188 |             werkzeug._internal
import time:       786 |        786 |                 markupsafe._speedups
import time:       513 |       1299 |               markupsafe
import time:       825 |       2123 |             werkzeug.exceptions
import time:       911 |        911 |                     werkzeug.datastructures.mixins
import time:      1020 |       1020 |                         _hashlib
import time:       564 |        564 |                         _blake2
import time:       301 |       1884 |                       hashlib
import time:       506 |        506 |                           _bisect
import time:       243 |        748 |                         bisect
import time:       802 |        802 |                             _random
import time:       488 |       1290 |                           random
import time:       840 |       2129 |                         tempfile
import time:       249 |        249 |                           urllib.response
import time:       317 |        566 |                         urllib.error
import time:       709 |        709 |                         _scproxy
import time:      1226 |       5377 |                       urllib.request
import time:       276 |        276 |                       werkzeug.sansio
import time:       594 |        594 |                       werkzeug.sansio.http
import time:      1855 |       9984 |                     werkzeug.http
import time:       844 |      11738 |                   werkzeug.datastructures.structures
import time:       547 |      12284 |                 werkzeug.datastructures.accept
import time:       340 |        340 |                 werkzeug.datastructures.auth
import time:        52 |         52 |                       _ast
import time:      1009 |       1061 |                     ast
import time:       687 |        687 |                         _opcode
import time:       384 |        384 |                         _opcode_metadata
import time:       343 |       1413 |                       opcode
import time:       888 |       2300 |                     dis
import time:      4141 |       4141 |                       importlib
import time:        74 |       4215 |                     importlib.machinery
import time:       316 |        316 |                       token
import time:        45 |         45 |                       _tokenize
import time:       944 |       1304 |                     tokenize
import time:      1543 |      10420 |                   inspect
import time:       406 |      10825 |                 werkzeug.datastructures.cache_control
import time:       383 |        383 |                 werkzeug.datastructures.csp
import time:       469 |        469 |                 werkzeug.datastructures.etag
import time:       453 |        453 |                   werkzeug.datastructures.headers
import time:       437 |        890 |                 werkzeug.datastructures.file_storage
import time:       355 |        355 |                 werkzeug.datastructures.range
import time:       347 |      25889 |               werkzeug.datastructures
import time:      1097 |      26985 |             werkzeug.urls
import time:       728 |      68222 |           werkzeug.serving
import time:       615 |        615 |             dataclasses
import time:      2463 |       2463 |             werkzeug.sansio.multipart
import time:       366 |        366 |                   importlib._abc
import time:       234 |        599 |                 importlib.util
import time:       430 |       1028 |               pkgutil
import time:      1069 |       1069 |               unicodedata
import time:       408 |        408 |                 hmac
import time:       147 |        147 |                 secrets
import time:       509 |       1063 |               werkzeug.security
import time:       226 |        226 |                 werkzeug.sansio.utils
import time:       389 |        615 |               werkzeug.wsgi
import time:       744 |       4517 |             werkzeug.utils
import time:       325 |        325 |                   werkzeug.formparser
import time:       363 |        363 |                     werkzeug.user_agent
import time:       686 |       1049 |                   werkzeug.sansio.request
import time:       429 |       1802 |                 werkzeug.wrappers.request
import time:       473 |        473 |                   werkzeug.sansio.response
import time:       418 |        891 |                 werkzeug.wrappers.response
import time:       252 |       2945 |               werkzeug.wrappers
import time:        20 |       2964 |             werkzeug.wrappers.request
import time:      1237 |      11794 |           werkzeug.test
import time:       312 |      80327 |         werkzeug
import time:       660 |      80987 |       werkzeug.local
import time:       286 |      82056 |     flask.globals
import time:       415 |        415 |           numbers
import time:      1383 |       1798 |         _decimal
import time:       281 |       2079 |       decimal
import time:       775 |        775 |         _uuid
import time:       473 |       1248 |       uuid
import time:       406 |       3731 |     flask.json.provider
import time:       353 |      92667 |   flask.json
import time:       672 |        672 |         gettext
import time:       379 |        379 |           click._compat
import time:       353 |        353 |             click.globals
import time:       383 |        383 |             click.utils
import time:       468 |       1202 |           click.exceptions
import time:       740 |       2320 |         click.types
import time:       396 |        396 |         click._utils
import time:       346 |        346 |           click.parser
import time:       412 |        757 |         click.formatting
import time:       363 |        363 |         click.termui
import time:       976 |       5482 |       click.core
import time:       367 |        367 |       click.decorators
import time:       360 |       6209 |     click
import time:       446 |        446 |       werkzeug.routing.converters
import time:      1063 |       1063 |             _heapq
import time:       260 |       1322 |           heapq
import time:       589 |       1911 |         difflib
import time:       298 |       2208 |       werkzeug.routing.exceptions
import time:       602 |        602 |         pprint
import time:      1546 |       1546 |           werkzeug.routing.rules
import time:       569 |       2115 |         werkzeug.routing.matcher
import time:       439 |       3155 |       werkzeug.routing.map
import time:       226 |       6034 |     werkzeug.routing
import time:       479 |        479 |             glob
import time:       623 |       1102 |           pathlib._abc
import time:       253 |        253 |               _winapi
import time:        31 |         31 |               nt
import time:        27 |         27 |               nt
import time:        27 |         27 |               nt
import time:        25 |         25 |               nt
import time:        24 |         24 |               nt
import time:        23 |         23 |               nt
import time:        23 |         23 |               nt
import time:       336 |        765 |             ntpath
import time:        31 |         31 |             pwd
import time:       746 |        746 |             grp
import time:       544 |       2085 |           pathlib._local
import time:       125 |       3310 |         pathlib
import time:       279 |        279 |             zipfile._path.glob
import time:       566 |        845 |           zipfile._path
import time:       797 |       1642 |         zipfile
import time:       444 |        444 |         importlib.metadata._meta
import time:       318 |        318 |         importlib.metadata._collections
import time:       119 |        119 |         importlib.metadata._functools
import time:       105 |        105 |         importlib.metadata._itertools
import time:       574 |        574 |               importlib.resources.abc
import time:       806 |       1379 |             importlib.resources._common
import time:       123 |        123 |             importlib.resources._functional
import time:       121 |       1622 |           importlib.resources
import time:       382 |       2004 |         importlib.abc
import time:      1167 |       9105 |       importlib.metadata
import time:        46 |         46 |         _wmi
import time:       702 |        747 |       platform
import time:       200 |        200 |               blinker._utilities
import time:       396 |        595 |             blinker.base
import time:       298 |        893 |           blinker
import time:       200 |       1092 |         flask.signals
import time:       336 |       1428 |       flask.helpers
import time:        46 |         46 |         _locale
import time:       994 |       1040 |       locale
import time:       923 |      13242 |     flask.cli
import time:       720 |        720 |     flask.typing
import time:       420 |        420 |     flask.ctx
import time:        52 |         52 |       flask.sansio
import time:       302 |        302 |       flask.config
import time:       228 |        228 |       flask.logging
import time:       318 |        318 |               _compat_pickle
import time:       959 |        959 |               _pickle
import time:       773 |       2049 |             pickle
import time:       775 |       2824 |           jinja2.bccache
import time:      1490 |       1490 |               jinja2.utils
import time:      1387 |       2876 |             jinja2.nodes
import time:       437 |        437 |               jinja2.exceptions
import time:       247 |        247 |                 jinja2.visitor
import time:       480 |        726 |               jinja2.idtracking
import time:       328 |        328 |               jinja2.optimizer
import time:      1036 |       2526 |             jinja2.compiler
import time:       336 |        336 |                 jinja2.async_utils
import time:       824 |        824 |                 jinja2.runtime
import time:      1262 |       2422 |               jinja2.filters
import time:       268 |        268 |               jinja2.tests
import time:       297 |       2986 |             jinja2.defaults
import time:       731 |        731 |               jinja2._identifier
import time:      1544 |       2275 |             jinja2.lexer
import time:       627 |        627 |             jinja2.parser
import time:      1132 |      12419 |           jinja2.environment
import time:       803 |        803 |           jinja2.loaders
import time:       248 |      16293 |         jinja2
import time:       267 |      16559 |       flask.templating
import time:       503 |        503 |       flask.sansio.scaffold
import time:       547 |      18188 |     flask.sansio.app
import time:       346 |        346 |           itsdangerous.exc
import time:       338 |        683 |         itsdangerous.encoding
import time:       321 |        321 |           itsdangerous.signer
import time:       379 |        700 |         itsdangerous.serializer
import time:       452 |        452 |         itsdangerous.timed
import time:       188 |        188 |           itsdangerous._json
import time:       277 |        464 |         itsdangerous.url_safe
import time:       316 |       2613 |       itsdangerous
import time:       410 |        410 |       flask.json.tag
import time:       605 |       3627 |     flask.sessions
import time:       381 |        381 |     flask.wrappers
import time:      2516 |      51332 |   flask.app
import time:       494 |        494 |     flask.sansio.blueprints
import time:       227 |        721 |   flask.blueprints
import time:       761 |     151851 | flask
import time:      1585 |       1585 |     _sqlite3
import time:       362 |       1947 |   sqlite3.dbapi2
import time:       294 |       2240 | sqlite3
import time:       286 |        286 | intent
import time:       493 |        493 |   email.generator
import time:       702 |       1194 | smtplib
import time:       243 |        243 |   email.mime
import time:      1530 |       1530 |           email._header_value_parser
import time:       517 |       2046 |         email.headerregistry
import time:       260 |        260 |         email.contentmanager
import time:       348 |       2653 |       email.policy
import time:       240 |       2893 |     email.mime.base
import time:       151 |       3043 |   email.mime.nonmultipart
import time:       438 |       3722 | email.mime.text
import time:       116 |        116 | email.mime.multipart
import time:       550 |        550 |     sysconfig
import time:       604 |        604 |     _sysconfigdata__darwin_darwin
import time:       491 |        491 |     _osx_support
import time:      1029 |       2673 |   zoneinfo._tzpath
import time:       302 |        302 |   zoneinfo._common
import time:       865 |        865 |   _zoneinfo
import time:       220 |       4058 | zoneinfo
import time:       333 |        333 |   flask_talisman.talisman
import time:       362 |        694 | flask_talisman
import time:       325 |        325 |   flask_limiter._version
import time:       245 |        245 |       limits._version
import time:       506 |        506 |                       wrapt.wrappers
